CD_GEOCODMU;LONG;LAT
2110708;-44,39287926;-5,565642
2110807;-44,81144766;-7,084685154
2110856;-47,3911374;-5,130200787
2110906;-42,86532173;-6,252797917
2111003;-44,81176185;-2,953332912
2111029;-46,25492548;-3,560803407
2111052;-47,05061042;-6,466222286
2111078;-43,8181818;-5,115739264
2111102;-43,70291017;-6,498208152
2111201;-44,05754812;-2,55585852
2111250;-44,58244652;-5,048687245
2111300;-44,29791856;-2,531885985
2111409;-44,6627085;-4,373918491
2111508;-44,46856281;-4,03455051
2111532;-48,42362359;-5,088910997
2111573;-46,53258035;-6,828555641
2111607;-45,48483143;-7,026962657
2111631;-45,08416279;-5,103181845
2111672;-44,99190116;-5,017366882
2111706;-44,88690458;-2,890731064
2111722;-45,23362958;-4,035735495
2111748;-44,05630151;-5,261076544
2111763;-47,28919142;-5,441832495
2111789;-45,11464085;-1,852645542
2111805;-46,69498334;-5,870629891
2111904;-44,18860271;-6,478284448
2111953;-43,54585332;-6,420108405
2112001;-45,74412352;-8,479831018
2112100;-43,93843397;-4,253840505
2112209;-42,8337279;-5,10068111
2112233;-44,6106852;-4,570126857
2112274;-45,63391648;-3,676404118
2112308;-44,64901215;-5,24965554
2112407;-45,36915242;-1,669022048
2112456;-45,30676531;-2,228833525
2112506;-42,27684721;-2,763550197
2112605;-43,40424847;-3,2084095
2112704;-43,91666449;-3,541896
2112803;-45,0013067;-3,214562513
2112852;-48,13892648;-5,183511519
2112902;-44,86957224;-3,482047365
2113009;-45,24418514;-4,2911865
2114007;-45,65769786;-3,2754805
2200053;-41,08363782;-8,220786663
2200103;-42,6591832;-5,795501935
2200202;-42,63513086;-5,893266338
2200251;-40,93463482;-7,00817528
2200277;-40,85786299;-7,245349466
2200301;-42,21032196;-5,250993011
2200400;-42,46094804;-5,036546434
2200459;-43,86307158;-8,443959072
2200509;-42,85369282;-6,246610772
2200608;-42,74386575;-6,087241692
2200707;-43,03485333;-9,174918531
2200806;-44,19653532;-7,219355834
2200905;-41,79745334;-6,112850256
2200954;-41,56320442;-7,278745465
2201002;-42,53656662;-6,650827027
2201051;-41,05083;-5,864914495
2201101;-43,94151014;-10,13474501
2201150;-45,21281529;-7,853351959
2201176;-42,10500208;-6,518873072
2201200;-42,29533986;-4,243093354
2201309;-45,47778771;-9,921246827
2201408;-42,51337782;-5,812359708
2201507;-42,07521873;-4,020412336
2201556;-41,87137964;-7,97218532
2201572;-40,97030219;-7,370139616
2201606;-42,3706167;-5,44760286
2201705;-43,95438774;-7,628624763
2201739;-40,79662193;-8,145665577
2201770;-42,12529574;-4,409009606
2201804;-41,32234068;-6,954842333
2201903;-44,36052508;-9,070948984
2201919;-41,64520957;-3,189858688
2201929;-42,87966307;-9,166560539
2201945;-42,10362713;-4,485819632
2201960;-41,78925964;-4,137829108
